Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
1,0,Unknown,0,0,0,-1.0,-1.0,934,16,4,16,1,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,1098,10,1,9,6,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,863,10,5,17,4,1,0
12,1,Unknown,0,42,0,0.0,0.0,1067,18,4,23,3,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,1224,19,0,17,0,0,2
18,0,Unknown,0,42,0,-1.0,-1.0,1184,19,5,11,5,0,0
16,0,Unknown,0,10,0,-1.0,-1.0,1347,14,4,1,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1200,15,4,19,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,978,6,2,10,1,1,0
7,0,Unknown,0,42,0,-1.0,-1.0,812,17,0,14,5,0,0
10,0,Unknown,0,0,0,-1.0,-1.0,808,9,4,18,6,0,0
10,0,Unknown,2,0,0,-1.0,-1.0,812,17,0,18,6,0,2
2,1,IE,0,6,0,-1.0,-1.0,846,16,1,21,3,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,1010,16,5,14,2,0,0
11,1,IN,0,22,0,-1.0,-1.0,814,9,5,20,2,0,0
2,0,India,2,42,1,0.0,12.0,1250,17,3,17,6,0,2
1,1,Unknown,0,42,0,-1.0,-1.0,1112,19,0,18,0,0,0
2,0,IN,0,4,0,237.0,0.0,854,13,0,21,3,0,0
2,1,IN,0,19,0,5.0,17.0,1133,17,1,10,3,0,0
15,0,Unknown,0,22,0,-1.0,-1.0,1043,14,0,16,4,0,0
2,1,Unknown,0,10,0,-1.0,-1.0,1246,15,0,15,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,955,20,3,9,1,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1035,18,1,8,1,0,0
1,1,Unknown,0,42,0,-1.0,0.0,938,10,0,6,6,1,0
